min,max,mean,date
0.01,137.23,39.15,1/1/2020
0.01,156.47,34.36,1/9/2020
0.01,166.14,35.4,1/17/2020
0.01,210.95,53.36,1/25/2020
0.01,198.87,44.42,2/2/2020
0.01,144.61,41.05,2/10/2020
0.01,148.62,52.89,2/18/2020
0.01,154.84,44.02,2/26/2020
0.01,151.99,41.19,3/5/2020
0.01,139.6,41.49,3/13/2020
0.01,144.58,48.23,3/21/2020
0.01,148.77,40.54,3/29/2020
0.01,156.66,55.35,4/6/2020
0.01,157.22,51.66,4/14/2020
0.01,327.67,54.91,4/22/2020
0.01,327.67,43.05,4/30/2020
0.01,327.67,48.79,5/8/2020
0.01,327.67,54.19,5/16/2020
0.01,327.67,50.39,5/24/2020
0.01,327.67,56.04,6/1/2020
0.01,327.67,47.83,6/9/2020
0.01,327.67,53.38,6/17/2020
0.01,327.67,52.2,6/25/2020
0.01,327.67,58.44,7/3/2020
0.01,327.67,52.99,7/11/2020
0.01,327.67,51.27,7/19/2020
0.02,327.67,57.21,7/27/2020
0.01,327.67,60.62,8/4/2020
0.03,327.67,61.87,8/12/2020
0.01,327.67,66.49,8/20/2020
0.01,327.67,50.81,8/28/2020
0.01,277.03,43.97,9/5/2020
0.01,205.53,51.49,9/13/2020
0.02,245.59,55.02,9/21/2020
0.01,173.62,53.05,9/29/2020
0.02,327.67,70.71,10/7/2020
0.03,326.39,88.08,10/15/2020
0.04,228.26,70.43,10/23/2020
0.03,153.45,59.95,10/31/2020
0.01,150.55,60.56,11/8/2020
0.01,124.69,44.19,11/16/2020
0.01,174.36,56.78,11/24/2020
0.01,149.77,62.26,12/2/2020
0.01,134.56,45.61,12/10/2020
0.01,160.94,59.75,12/18/2020
0.01,147.95,60.08,1/1/2021
0.01,198.51,62.32,1/9/2021
0.01,139.45,58,1/17/2021
0.01,144.93,48.52,1/25/2021
0.01,161.09,54.25,2/2/2021
0.02,174.13,66.25,2/10/2021
0.02,143.43,55.91,2/18/2021
0.01,149.67,50.19,2/26/2021
0.01,156.64,57.31,3/6/2021
0.01,141.93,52.4,3/14/2021
0.01,145.42,59.66,3/22/2021
0.01,186.01,47.82,3/30/2021
0.01,146.5,63.76,4/7/2021
0.01,180.56,62.56,4/15/2021
0.01,283.49,62.33,4/23/2021
0.01,327.67,61.73,5/1/2021
0.01,327.67,62.62,5/9/2021
0.01,327.67,54.34,5/17/2021
0.01,327.67,60,5/25/2021
0.01,327.67,53.95,6/2/2021
0.56,327.67,80.62,6/10/2021
0.01,327.67,60.71,6/18/2021
0.02,327.67,54.47,6/26/2021
0.01,327.67,50.42,7/4/2021
0.01,327.67,73.96,7/12/2021
0.01,327.67,56.48,7/20/2021
0.02,327.67,51.53,7/28/2021
0.02,327.67,52.91,8/5/2021
0.01,327.67,68.46,8/13/2021
0.01,327.67,60.09,8/21/2021
0.05,327.67,63.7,8/29/2021
0.01,327.67,56.53,9/6/2021
0.01,324.02,57.98,9/14/2021
0.01,327.67,51.06,9/22/2021
0.01,327.67,59.07,9/30/2021
0.01,232.97,58.14,10/8/2021
0.01,190.59,60.45,10/16/2021
0.01,161.16,66.64,10/24/2021
0.01,133.24,54.42,11/1/2021
0.01,168.25,66.96,11/9/2021
0.01,132.63,52.99,11/17/2021
0.01,151.08,70.31,11/25/2021
0.02,167.7,64.04,12/3/2021
0.01,129.78,52.26,12/11/2021
0.01,157.08,57.27,12/19/2021
0.01,137.49,53.94,1/1/2022
0.01,109.3,48.4,1/9/2022
0.01,149.53,61.25,1/17/2022
0.01,146.3,56.15,1/25/2022
0.01,152.12,60.12,2/2/2022
0.01,152.72,58.76,2/10/2022
0.02,166.95,80.04,2/18/2022
0.02,164.41,61.86,2/26/2022
0.01,150.62,63.15,3/6/2022
0.01,151.45,64.66,3/14/2022
0.01,146.42,70.02,3/22/2022
0.01,327.67,85.34,3/30/2022
0.02,327.67,87.52,4/7/2022
0.01,327.67,75.04,4/15/2022
0.01,327.67,67.05,4/23/2022
0.01,327.67,79.57,5/1/2022
0.09,327.67,72.28,5/9/2022
0.46,327.67,72.11,5/17/2022
0.07,327.67,69.82,5/25/2022
0.09,327.67,67.41,6/2/2022
0.03,327.67,63.83,6/10/2022
0.01,327.67,64,6/18/2022
0.01,327.67,53.92,6/26/2022
0.01,327.67,53.43,7/4/2022
0.06,327.67,74.01,7/12/2022
0.01,327.67,59.9,7/20/2022
0.01,327.67,53.75,7/28/2022
0.01,327.67,63.27,8/5/2022
0.01,327.67,56.01,8/13/2022
0.01,327.67,67.45,8/21/2022
0.01,327.67,59.53,8/29/2022
0.02,327.67,63.12,9/6/2022
0.02,327.67,59.51,9/14/2022
0.01,176.52,62.82,9/22/2022
0.01,199.45,58.72,9/30/2022
0.01,327.67,63.18,10/8/2022
0.01,327.67,60.11,10/16/2022
0.02,154.75,56.04,10/24/2022
0.01,177.09,59.27,11/1/2022
0.01,238.07,48.01,11/4/2022
0.01,121.99,49.64,11/9/2022
0.01,450.73,40.43,11/12/2022
0.01,118.06,42.67,11/17/2022
0.01,849.53,37.7,11/20/2022
0.01,154.7,41.75,11/25/2022
0.01,141.2,53.42,11/28/2022
0.01,136.92,53.8,12/3/2022
0.01,440.26,62.23,12/6/2022
0.01,136.29,58.21,12/11/2022
0.01,670.45,55.3,12/14/2022
0.01,654.91,57.99,12/19/2022
0.01,1132.78,52.43,12/22/2022
